t	x	v	state	E_total
47.7	6.98287	-0.712016	1	0.360566
47.8	6.91388	-0.610464	1	0.724586
47.9	6.9064	0.419426	1	0.672937
48	6.97169	0.830404	1	0.521695
48.1	7.01583	-0.68532	1	0.630537
48.2	6.94918	-0.374454	1	0.387713
48.3	6.94534	0.342423	1	0.40026
48.4	6.99475	0.403574	1	0.114247
48.5	6.99037	-0.0150393	1	0.0602703
48.6	6.99702	-0.51692	1	0.152239
48.7	6.95986	-0.388634	1	0.32641
48.8	6.94876	0.324914	1	0.373017
48.9	6.99865	0.753789	1	0.292567
49	6.97838	-0.504558	1	0.262401
49.1	6.96288	0.509075	1	0.361557
49.2	6.99696	-0.367245	1	0.0864288
49.3	6.99469	0.21659	1	0.0566161
49.4	7.00048	-0.0407324	1	0.0127607
49.5	6.98423	-0.373521	1	0.168304
49.6	6.97071	0.181773	1	0.199561
49.7	7.0066	0.349962	1	0.226191
49.8	6.95531	-0.576337	1	0.445364
49.9	6.94727	0.438659	1	0.425758
50	7.02193	0.13917	1	0.557857
50.1	6.95342	-0.80879	1	0.618184
50.2	6.93732	0.396504	1	0.470347
50.3	6.99633	0.739033	1	0.296047
50.4	6.97765	-0.433415	1	0.23359
50.5	6.98032	0.32736	1	0.176584
50.6	6.99766	-0.294331	1	0.0579099
50.7	6.96058	-0.288234	1	0.287916
50.8	6.94565	0.0859083	1	0.34339
50.9	6.99171	0.827984	1	0.394606
51	7.00286	-1.10048	1	0.676909
51.1	6.90518	-0.601771	1	0.773669
51.2	6.87716	-0.14385	1	0.778097
51.3	6.90887	0.625602	1	0.765269
51.4	6.99558	1.33653	1	0.920768
51.5	7.03284	-0.732486	1	1.08931
51.6	6.89818	-1.31754	1	1.50432
51.7	6.78394	-0.93829	1	1.79055
51.8	6.70529	-0.527414	1	1.98101
51.9	6.69549	0.330676	1	1.95786
52	6.76083	0.775449	1	1.79549
52.1	6.88327	1.54992	1	1.93066
52.2	7.0717	1.08035	1	2.37606
52.3	7.03418	-1.85339	1	2.57214
52.4	6.81771	-1.94037	1	3.02183
52.5	6.61651	-2.01993	1	4.43688
52.6	6.43115	-1.57855	1	4.8012
52.7	6.32739	-0.590829	1	4.37833
52.8	6.29377	0.109375	1	4.41995
52.9	6.322	0.334554	1	4.29344
53	6.43103	1.58755	1	4.81624
