# t K1 K2 U1 U2 Uc E_tot
0.30700000 0.12487628 0.20013065 -0.92687247 0.06000996 1.30142823 0.75957264
0.30800000 0.11975870 0.19907666 -0.92415082 0.05892067 1.30549458 0.75909980
0.30900000 0.11485598 0.19767817 -0.92147839 0.05784276 1.30952453 0.75842305
0.31000000 0.10991571 0.19594641 -0.91885540 0.05677793 1.31351404 0.75729868
0.31100000 0.10519452 0.19381403 -0.91628593 0.05572590 1.31746065 0.75590917
0.31200000 0.10131393 0.19189849 -0.91376417 0.05468868 1.32136337 0.75550030
0.31300000 0.09730872 0.19015962 -0.91127857 0.05366271 1.32523711 0.75508960
0.31400000 0.09304999 0.18915310 -0.90884646 0.05265020 1.32906528 0.75507211
0.31500000 0.08927891 0.18860526 -0.90645989 0.05164467 1.33286708 0.75593603
0.31600000 0.08550272 0.18742513 -0.90411720 0.05064982 1.33663515 0.75609563
0.31700000 0.08153604 0.18571983 -0.90182300 0.04966503 1.34036752 0.75546542
0.31800000 0.07744712 0.18398335 -0.89958091 0.04869332 1.34405453 0.75459741
0.31900000 0.07355048 0.18297564 -0.89739420 0.04773150 1.34770096 0.75456438
0.32000000 0.07010580 0.18173266 -0.89525772 0.04677857 1.35131208 0.75467139
0.32100000 0.06650934 0.18014751 -0.89316665 0.04583644 1.35488627 0.75421291
